,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
"
0,World,"1,266,782","+65,329","69,177","+4,489","261,132","936,473","45,530",163,8.9,,
1,USA,"333,173","+21,816","9,536 ","+1,084","17,177","306,460","8,623","1,007",29,"1,751,296","5,291"
2,Spain,"130,854","+4,686","12,518 ",+571,"38,080","80,256","6,861","2,799",268,"355,000","7,593"
3,Italy,"128,948","+4,316","15,887 ",+525,"21,815","91,246","3,977","2,133",263,"691,461","11,436"
4,Germany,"100,024","+3,932","1,576 ",+132,"28,700","69,748","3,936","1,194",19,"918,460","10,962"
5,France,"92,839","+2,886","8,078 ",+518,"16,183","68,578","6,838","1,422",124,"224,254","3,436"
6,Iran,"58,226","+2,483","3,603 ",+151,"19,736","34,887","4,103",693,43,"186,000","2,214"
7,UK,"47,806","+5,903","4,934 ",+621,135,"42,737","1,559",704,73,"195,524","2,880"
8,Turkey,"27,069","+3,135",574 ,+73,"1,042","25,453","1,381",321,7,"181,445","2,151"
9,Switzerland,"21,100",+595,715 ,+49,"6,415","13,970",391,"2,438",83,"158,000","18,256"
10,Belgium,"19,691","+1,260","1,447 ",+164,"3,751","14,493","1,261","1,699",125,"70,000","6,040"
11,Netherlands,"17,851","+1,224","1,766 ",+115,250,"15,835","1,385","1,042",103,"75,415","4,401"
12,Canada,"15,425","+1,513",277 ,+46,"2,847","12,301",426,409,7,"317,972","8,425"
13,Austria,"12,051",+270,204 ,+18,"2,998","8,849",244,"1,338",23,"108,416","12,038"
14,Portugal,"11,278",+754,295 ,+29,75,"10,908",267,"1,106",29,"86,370","8,470"
15,Brazil,"11,130",+770,486 ,+41,127,"10,517",296,52,2,"54,824",258
16,S. Korea,"10,237",+81,183 ,+6,"6,463","3,591",55,200,4,"461,233","8,996"
17,Israel,"8,430",+579,49 ,+5,477,"7,904",139,974,6,"90,394","10,443"
18,Sweden,"6,830",+387,401 ,+28,205,"6,224",541,676,40,"36,900","3,654"
19,Norway,"5,687",+137,71 ,+9,32,"5,584",89,"1,049",13,"105,865","19,528"
20,Australia,"5,687",+137,35 ,+5,"2,315","3,337",91,223,1,"297,154","11,653"
21,Russia,"5,389",+658,45 ,+2,355,"4,989",8,37,0.3,"697,000","4,776"
